ファイル名,マシン,RUNパス,JUMPパス,形式,解像度,RUNサイズ,JUMPサイズ,RUN SHA-256,JUMP SHA-256,一致分類,COMMON化可否,採用正本,最終配置先,理由
boon-body.png,ブーンピックアップ,boonrun/assets/cars/boon-body.png,boonjump/assets/cars/boon-body.png,png,760x280,88963,88963,6d8d4d8f5f7345735bccb88f4d27c209f8f09db4bd550d4746abd38a17650eed,6d8d4d8f5f7345735bccb88f4d27c209f8f09db4bd550d4746abd38a17650eed,完全一致,可,assets/machines/common/boon/body.png,COMMON + both runtime copies,SHA-256完全一致。機体IDENTITY素材。
boon-boost.png,ブーンピックアップ,boonrun/assets/cars/boon-boost.png,boonjump/assets/cars/boon-boost.png,png,138x100,3709,3709,7c513928ff6dfca0e56f268c803a288f5d7dcb1305c165490c94b6b511f30824,7c513928ff6dfca0e56f268c803a288f5d7dcb1305c165490c94b6b511f30824,完全一致,可,assets/machines/common/boon/boost.png,COMMON + both runtime copies,SHA-256完全一致。機体IDENTITY素材。
boon-shadow.png,ブーンピックアップ,boonrun/assets/cars/boon-shadow.png,boonjump/assets/cars/boon-shadow.png,png,760x280,807,807,eeea79e9cb184ee3833a1d7461a420d2510672a37045f8cc9a4bddc2b402ba00,eeea79e9cb184ee3833a1d7461a420d2510672a37045f8cc9a4bddc2b402ba00,完全一致,可,assets/machines/common/boon/shadow.png,COMMON + both runtime copies,SHA-256完全一致。機体IDENTITY素材。
boon-front-wheel.png,ブーンピックアップ,boonrun/assets/cars/boon-front-wheel.png,boonjump/assets/cars/boon-front-wheel.png,png,90x90,9242,9242,aecde9f4e62a26fb7edd2b25bfc29ae5b1d6d0571d4878a498eed4e1cf399a9e,aecde9f4e62a26fb7edd2b25bfc29ae5b1d6d0571d4878a498eed4e1cf399a9e,完全一致,可,assets/machines/common/boon/front-wheel.png,COMMON + both runtime copies,SHA-256完全一致。車輪IDENTITY素材。
boon-rear-wheel.png,ブーンピックアップ,boonrun/assets/cars/boon-rear-wheel.png,boonjump/assets/cars/boon-rear-wheel.png,png,90x90,9101,9101,9be92d99b8887b41e340436f77bf0695feca2e9483325beae42ab652449b36e2,9be92d99b8887b41e340436f77bf0695feca2e9483325beae42ab652449b36e2,完全一致,可,assets/machines/common/boon/rear-wheel.png,COMMON + both runtime copies,SHA-256完全一致。車輪IDENTITY素材。
boon-front.png,ブーンピックアップ,,boonjump/assets/cars/boon-front.png,png,760x280,,11644,,be2eab256b072524867e1d14f41836dcdd56897a58f611d1e78e0830209d5d85,JUMP現行表示用サブパーツ,可,assets/machines/common/boon/front.png,COMMON + JUMP runtime copy,ゲームプレイVFXではなく車体表示パーツ。RUNは現行未使用。
boon-rear.png,ブーンピックアップ,,boonjump/assets/cars/boon-rear.png,png,760x280,,11443,,2c3519a6021db27887978af5a89e773eacef1143d4d631391eaea7125887a749,JUMP現行表示用サブパーツ,可,assets/machines/common/boon/rear.png,COMMON + JUMP runtime copy,ゲームプレイVFXではなく車体表示パーツ。RUNは現行未使用。
boon-complete.png,ブーンピックアップ,boonrun/assets/cars/boon-complete.png,,png,760x280,103368,,2c4c09c4974024aec134538e2c425ff2034508aea9b2eafe6ad8c81dc38ebdc7,,中立マシン画像,可,assets/machines/common/boon/complete.png,COMMON + RUN runtime copy,RUNの安全なcomplete fallback。ゲーム固有演出なし。
wagon-body.png,スマートワゴン,boonrun/assets/cars/wagon-body.png,boonjump/assets/cars/wagon-body.png,png,760x280,82271,82271,8010575af3b3c4e5ff6e9b00182d750ec93456f2ee163fb5204cb8475f1259ef,8010575af3b3c4e5ff6e9b00182d750ec93456f2ee163fb5204cb8475f1259ef,完全一致,可,assets/machines/common/wagon/body.png,COMMON + both runtime copies,SHA-256完全一致。機体IDENTITY素材。
wagon-boost.png,スマートワゴン,boonrun/assets/cars/wagon-boost.png,boonjump/assets/cars/wagon-boost.png,png,105x101,3368,3368,b936f6d180822bf7626b2c15eb4c1ff4e5073c7d11d0a6434752eac8ec2bb73d,b936f6d180822bf7626b2c15eb4c1ff4e5073c7d11d0a6434752eac8ec2bb73d,完全一致,可,assets/machines/common/wagon/boost.png,COMMON + both runtime copies,SHA-256完全一致。機体IDENTITY素材。
wagon-shadow.png,スマートワゴン,boonrun/assets/cars/wagon-shadow.png,boonjump/assets/cars/wagon-shadow.png,png,760x280,804,804,2f019096a76cf339f4125943ed9f6d6fdd9a0bfea863a6258b4c05b9f419954c,2f019096a76cf339f4125943ed9f6d6fdd9a0bfea863a6258b4c05b9f419954c,完全一致,可,assets/machines/common/wagon/shadow.png,COMMON + both runtime copies,SHA-256完全一致。機体IDENTITY素材。
wagon-front-wheel.png,スマートワゴン,boonrun/assets/cars/wagon-front-wheel.png,boonjump/assets/cars/wagon-front-wheel.png,png,92x92,9659,9659,39a8c84391c1df5411c567506ad9b0e463f7ccd8e7e6e83d9f4457387be83a5a,39a8c84391c1df5411c567506ad9b0e463f7ccd8e7e6e83d9f4457387be83a5a,完全一致,可,assets/machines/common/wagon/front-wheel.png,COMMON + both runtime copies,SHA-256完全一致。車輪IDENTITY素材。
wagon-rear-wheel.png,スマートワゴン,boonrun/assets/cars/wagon-rear-wheel.png,boonjump/assets/cars/wagon-rear-wheel.png,png,92x92,10022,10022,4fb01f5c24576f8434ffa58b5549738c4fa20a115142afcef1aca47a8c1805ff,4fb01f5c24576f8434ffa58b5549738c4fa20a115142afcef1aca47a8c1805ff,完全一致,可,assets/machines/common/wagon/rear-wheel.png,COMMON + both runtime copies,SHA-256完全一致。車輪IDENTITY素材。
wagon-front.png,スマートワゴン,,boonjump/assets/cars/wagon-front.png,png,760x280,,12227,,6d87ecef8756451ffc69d8bea54ef986e13229383addcb7607bf1546a39ecf01,JUMP現行表示用サブパーツ,可,assets/machines/common/wagon/front.png,COMMON + JUMP runtime copy,ゲームプレイVFXではなく車体表示パーツ。RUNは現行未使用。
wagon-rear.png,スマートワゴン,,boonjump/assets/cars/wagon-rear.png,png,760x280,,12601,,94833455016d69b5a1a0446acb7c505a84e428843994773c318cf527ec0e7c0f,JUMP現行表示用サブパーツ,可,assets/machines/common/wagon/rear.png,COMMON + JUMP runtime copy,ゲームプレイVFXではなく車体表示パーツ。RUNは現行未使用。
wagon-complete.png,スマートワゴン,boonrun/assets/cars/wagon-complete.png,,png,760x280,95541,,0281c4fc2cad2c0f4b4f7008e356c5bdff41d18c57a6d63f65e66d4ae0750d47,,中立マシン画像,可,assets/machines/common/wagon/complete.png,COMMON + RUN runtime copy,RUNの安全なcomplete fallback。ゲーム固有演出なし。
buggy-body.png,ラッキーバギー,boonrun/assets/cars/buggy-body.png,boonjump/assets/cars/buggy-body.png,png,760x280,75923,75923,046de581b88ec53e72752f509e34d09ea6ba3a014f5ea3abe1f7aaa48ea3f4f9,046de581b88ec53e72752f509e34d09ea6ba3a014f5ea3abe1f7aaa48ea3f4f9,完全一致,可,assets/machines/common/buggy/body.png,COMMON + both runtime copies,SHA-256完全一致。機体IDENTITY素材。
buggy-boost.png,ラッキーバギー,boonrun/assets/cars/buggy-boost.png,boonjump/assets/cars/buggy-boost.png,png,129x103,4277,4277,a9284a15971864d92609f2314b87b94f49bf3aa6aee11d78551d7266e472fe12,a9284a15971864d92609f2314b87b94f49bf3aa6aee11d78551d7266e472fe12,完全一致,可,assets/machines/common/buggy/boost.png,COMMON + both runtime copies,SHA-256完全一致。機体IDENTITY素材。
buggy-shadow.png,ラッキーバギー,boonrun/assets/cars/buggy-shadow.png,boonjump/assets/cars/buggy-shadow.png,png,760x280,810,810,85f9b42cdd248200a482aebb3d89b3e9b88f4ac436e8076ee65b141d763797b0,85f9b42cdd248200a482aebb3d89b3e9b88f4ac436e8076ee65b141d763797b0,完全一致,可,assets/machines/common/buggy/shadow.png,COMMON + both runtime copies,SHA-256完全一致。機体IDENTITY素材。
buggy-front-wheel.png,ラッキーバギー,boonrun/assets/cars/buggy-front-wheel.png,boonjump/assets/cars/buggy-front-wheel.png,png,88x88,9443,9443,57735db18e629c842cba5257ea450064c8560398d3c5275fd32522d62a7167da,57735db18e629c842cba5257ea450064c8560398d3c5275fd32522d62a7167da,完全一致,可,assets/machines/common/buggy/front-wheel.png,COMMON + both runtime copies,SHA-256完全一致。車輪IDENTITY素材。
